xref[mm],s[mm],p[bar],u[V],t[ms] 
5.000,1.949,4.020,0.820,10.000
5.000,1.949,4.020,0.820,10.000
5.000,1.949,4.020,0.820,10.000
5.000,1.949,4.020,0.820,10.000
5.000,1.949,4.020,0.820,10.000
5.000,1.949,4.020,0.820,10.000
5.000,1.949,4.020,0.820,10.000
5.000,1.949,4.020,0.820,10.000
5.000,1.949,4.020,0.820,10.000
5.000,1.949,4.020,0.820,10.000
5.000,1.949,4.020,0.820,10.000
5.000,1.949,4.020,0.820,10.000
5.000,1.949,4.020,0.820,10.000
5.000,1.949,4.020,0.820,10.000
5.000,1.949,4.020,0.820,10.000
5.000,1.949,4.020,0.820,10.000
5.000,1.949,4.020,0.820,10.000
5.000,1.949,4.020,0.820,10.000
5.000,1.949,4.020,0.820,10.000
5.000,1.949,4.020,0.820,10.000
5.000,1.949,4.020,0.820,10.000
5.000,1.949,4.020,0.820,10.000
5.000,1.949,4.020,0.820,10.000
5.000,1.949,4.020,0.820,10.000
5.000,1.949,4.020,0.820,10.000
5.000,1.949,4.020,0.820,10.000
5.000,1.949,4.020,0.820,10.000
5.000,1.949,4.020,0.820,10.000
5.000,1.949,4.020,0.820,10.000
5.000,1.949,4.020,0.820,10.000
5.000,1.949,4.020,0.820,10.000
5.000,1.949,4.020,0.820,10.000
5.000,1.949,4.020,0.820,10.000
5.000,1.949,4.020,0.820,10.000
5.000,1.949,4.020,0.820,10.000
5.000,1.949,4.020,0.820,10.000
5.000,1.949,4.020,0.820,10.000
5.000,1.949,4.020,0.820,10.000
5.000,1.949,4.020,0.820,10.000
5.000,1.949,4.020,0.820,10.000
5.000,1.949,4.020,0.820,10.000
5.000,1.949,4.020,0.820,10.000
5.000,1.949,4.020,0.820,10.000
5.000,1.949,4.020,0.820,10.000
5.000,1.949,4.020,0.820,10.000
5.000,1.949,4.020,0.820,10.000
5.000,1.949,4.020,0.820,10.000
5.000,1.949,4.020,0.820,10.000
5.000,1.949,4.020,0.820,10.000
5.000,1.949,4.020,0.820,10.000
5.000,1.949,4.020,0.820,10.000
5.000,1.949,4.020,0.820,10.000
5.000,1.949,4.020,0.820,10.000
5.000,1.949,4.020,0.820,10.000
5.000,1.949,4.020,0.820,10.000
5.000,1.949,4.020,0.820,10.000
5.000,1.949,4.020,0.820,10.000
5.000,1.949,4.020,0.820,10.000
5.000,1.949,4.020,0.820,10.000
5.000,1.949,4.020,0.820,10.000
5.000,1.949,4.020,0.820,10.000
5.000,1.949,4.020,0.820,10.000
5.000,1.949,4.020,0.820,10.000
5.000,1.949,4.020,0.820,10.000
5.000,1.949,4.020,0.820,10.000
5.000,1.949,4.020,0.820,10.000
5.000,1.949,4.020,0.820,10.000
5.000,1.949,4.020,0.820,10.000
5.000,1.949,4.020,0.820,10.000
5.000,1.949,4.020,0.820,10.000
5.000,1.949,4.020,0.820,10.000
5.000,1.949,4.020,0.820,10.000
5.000,1.949,4.020,0.820,10.000
5.000,1.949,4.020,0.820,10.000
5.000,1.949,4.020,0.820,10.000
5.000,1.949,4.020,0.820,10.000
5.000,1.949,4.020,0.820,10.000
5.000,1.949,4.020,0.820,10.000
5.000,1.949,4.020,0.820,10.000
5.000,1.949,4.020,0.820,10.000
5.000,1.949,4.020,0.820,10.000
5.000,1.949,4.020,0.820,10.000
5.000,1.949,4.020,0.820,10.000
5.000,1.949,4.020,0.820,10.000
5.000,1.949,4.020,0.820,10.000
5.000,1.949,4.020,0.820,10.000
5.000,1.949,4.020,0.820,10.000
5.000,1.949,4.020,0.820,10.000
5.000,1.949,4.020,0.820,10.000
5.000,1.949,4.020,0.820,10.000
5.000,1.949,4.020,0.820,10.000
5.000,1.949,4.020,0.820,10.000
5.000,1.949,4.020,0.820,10.000
5.000,1.949,4.020,0.820,10.000
5.000,1.949,4.020,0.820,10.000
5.000,1.949,4.020,0.820,10.000
5.000,1.949,4.020,0.820,10.000
5.000,1.949,4.020,0.820,10.000
5.000,1.949,4.020,0.820,10.000
5.000,1.949,4.020,0.820,10.000
5.000,1.949,4.020,0.820,10.000
5.000,1.949,4.020,0.820,10.000
5.000,1.949,4.020,0.820,10.000
5.000,1.949,4.020,0.820,10.000
5.000,1.949,4.020,0.820,10.000
