xref[mm],s[mm],p[bar],u[V],t[ms] 
4.528,1.835,3.520,0.760,10.000
4.528,1.857,3.520,0.760,10.000
4.528,1.835,3.520,0.760,10.000
4.528,1.858,3.520,0.760,10.000
4.528,1.835,3.520,0.760,10.000
4.528,1.858,3.520,0.760,10.000
4.528,1.835,3.520,0.760,10.000
4.528,1.858,3.520,0.760,10.000
4.528,1.835,3.520,0.760,10.000
4.528,1.858,3.520,0.760,10.000
4.528,1.835,3.520,0.760,10.000
4.528,1.858,3.520,0.760,10.000
4.528,1.835,3.520,0.760,10.000
4.528,1.858,3.520,0.760,10.000
4.528,1.835,3.520,0.760,10.000
4.528,1.858,3.520,0.760,10.000
4.528,1.835,3.520,0.760,10.000
4.528,1.858,3.520,0.760,10.000
4.528,1.835,3.520,0.760,10.000
4.528,1.858,3.520,0.760,10.000
4.528,1.835,3.520,0.760,10.000
4.528,1.858,3.520,0.760,10.000
4.528,1.835,3.520,0.760,10.000
4.528,1.858,3.520,0.760,10.000
4.528,1.835,3.520,0.760,10.000
4.528,1.858,3.520,0.760,10.000
4.528,1.835,3.520,0.760,10.000
4.528,1.858,3.520,0.760,10.000
4.528,1.835,3.520,0.760,10.000
4.528,1.858,3.520,0.760,10.000
4.528,1.835,3.520,0.760,10.000
4.528,1.858,3.520,0.760,10.000
4.528,1.835,3.520,0.760,10.000
